date,sample_id,exper_type,cultivar,treatment,plot_type,tube_number,concentration_mean,concentration_sd,n_lab_reps
2025-01-06,stb3,acute,st,b,otc,1,1369.4733333333334,123.2156006085809,3
2025-01-06,mqbc2,acute,mq,b,control,2,1958.76,567.6769436043708,3
2025-01-06,mqlt16,long_term,mq,NA,NA,3,2042.1233333333334,495.7692967836284,3
2025-01-06,sta0c1,acute,st,a0,control,4,1404.0933333333332,694.1331742780583,3
2025-01-06,mqa03,acute,mq,a0,otc,5,1744.77,320.6523025022588,3
2025-01-06,mqac1,acute,mq,a,control,6,1956.6399999999999,197.94394080142996,3
2025-01-06,mqcc1,acute,mq,c,control,7,1551.9833333333333,116.32822457741432,3
2025-01-07,mqlt9,long_term,mq,NA,NA,9,1641.6366666666668,147.4283522031409,3
2025-01-07,stlt6,long_term,st,NA,NA,10,1490.9033333333332,170.47128125679504,3
2025-01-07,mqc2,acute,mq,c,control,11,1314.7666666666667,168.00054355070802,3
2025-01-07,stlt5,long_term,st,NA,NA,12,1506.51,31.510999666782993,3
2025-01-07,stac1,acute,st,a,control,13,1619.9366666666667,82.15242560833698,3
2025-01-07,stlt1,long_term,st,NA,NA,14,1050.6866666666667,112.37943420988256,3
2025-01-07,stlt3,long_term,st,NA,NA,16,1269.23,77.72115027455533,3
2025-01-07,mqa0c1,acute,mq,a0,control,17,1462.4966666666667,112.6063560965069,3
2025-01-07,mqa02,acute,mq,a0,otc,18,1736.0266666666666,214.36719066436757,3
2025-01-07,mqlt11,long_term,mq,NA,NA,19,2146.7666666666664,69.33894240131838,3
2025-01-07,mqb1,acute,mq,b,otc,20,1703.5566666666666,82.69143022909523,3
2025-01-07,mqcc3,acute,mq,c,control,21,1711.0866666666666,43.752111187156885,3
2025-01-08,stbc3,acute,st,b,control,22,1340.3466666666666,12.21580260700603,3
2025-01-08,sta1,acute,st,a,otc,23,1508.3033333333333,89.7490948886579,3
2025-01-08,mqa0c3,acute,mq,a0,control,24,1729.8133333333333,192.9577819973409,3
2025-01-08,stcc3,acute,st,c,control,25,1478.5366666666666,70.57620869197588,3
2025-01-08,mqlt14,long_term,mq,NA,NA,26,1827.6833333333334,240.538306581994,3
2025-01-08,stc1,acute,st,c,control,27,1485.72,135.10526599655537,3
2025-01-08,stlt4,long_term,st,NA,NA,29,1722.6200000000001,131.8326928345165,3
2025-01-08,mqd3,acute,mq,d,otc,30,1449.6766666666667,74.28000560940562,3
2025-01-08,stlt8,long_term,st,NA,NA,31,1733.03,8.697361668920072,3
2025-01-08,stac3,acute,st,a,control,32,1023.32,33.231155562213075,3
2025-01-08,mqlt15,long_term,mq,NA,NA,33,1642.96,213.5473659402054,3
2025-01-08,stcc2,acute,st,c,control,34,1478.6733333333334,57.91519173181876,3
2025-01-08,mqcc2,acute,mq,c,control,35,1634.7333333333333,118.93824882405708,3
2025-01-09,sta01,acute,st,a0,otc,36,1440.6066666666666,111.53373361155502,3
2025-01-09,stbc1,acute,st,b,control,37,1532.0733333333335,133.54001510159168,3
2025-01-09,mqa0c2,acute,mq,a0,control,38,1857.3,308.07112052251836,3
2025-01-09,stb2,acute,st,b,otc,39,1440.7733333333333,54.29130163602033,3
2025-01-09,mqac3,acute,mq,a,control,40,1873.1233333333332,61.20675235080956,3
2025-01-09,mqa01,acute,mq,a0,otc,41,2204.73,573.1748310070847,3
2025-01-09,stlt2,long_term,st,NA,NA,42,1523.9433333333334,111.51330608197993,3
2025-01-09,mqlt12,long_term,mq,NA,NA,43,2301.9066666666668,125.36042929622307,3
2025-01-09,mqlt13,long_term,mq,NA,NA,44,1635.54,207.0410657333468,3
2025-01-09,sta0c2,acute,st,a0,control,45,1217.2066666666667,201.5145881402469,3
2025-01-09,mqcc2,acute,mq,c,control,46,1970.42,155.2500766505448,3
2025-01-09,mqdc2,acute,mq,d,control,47,1660.4033333333334,32.84638539220607,3
2025-01-09,mqd2,acute,mq,d,otc,48,1277.43,41.40088042542089,3
2025-01-09,mqa1,acute,mq,a,otc,49,2027.41,115.29137175001426,3
2025-01-13,sta3,acute,st,a,otc,50,1879.8799999999999,42.14219263398612,3
2025-01-13,stac2,acute,st,a,control,51,1134.84,42.88071944359136,3
2025-01-13,mqc3,acute,mq,c,control,52,2098,184.7380621312241,3
2025-01-13,mqa3,acute,mq,a,otc,53,1891.0766666666666,63.48152828448084,3
2025-01-13,sta01,acute,st,a0,otc,54,1100.5766666666666,824.5616481703071,3
2025-01-13,mqbc1,acute,mq,b,control,56,1732.3333333333333,51.056652194727036,3
2025-01-13,mqa2,acute,mq,a,otc,57,1614.0266666666666,65.31691690009052,3
2025-01-13,stb1,acute,st,b,otc,58,1274.59,15.793064933698034,3
2025-01-13,mqd1,acute,mq,d,otc,59,1684.8666666666668,100.54736214010455,3
2025-01-13,stlt7,long_term,st,NA,NA,60,1334.4666666666667,106.10991109850823,3
2025-01-13,sta2,acute,st,a,otc,61,1445.1833333333334,140.28046347704066,3
2025-01-13,mqbc3,acute,mq,b,control,62,1603.7533333333333,108.04138204101855,3
2025-01-14,stcd3,acute,st,c,otc,64,1277.5266666666666,40.77861490209455,3
2025-01-14,stcc1,acute,st,c,control,65,1520.62,41.61890435847638,3
2025-01-14,stc3,acute,st,c,control,66,1160.56,46.43434827797193,3
2025-01-14,stbc2,acute,st,b,control,67,1151.1966666666667,27.408568611536964,3
2025-01-14,stc2,acute,st,c,control,68,1277.47,21.853203426500198,3
2025-01-14,mqb2,acute,mq,b,otc,69,1770.3166666666666,40.74326120149602,3
2025-01-14,sta03,acute,st,a0,otc,70,1485.98,20.584564605548543,3
2025-01-14,mqdc1,acute,mq,d,control,71,1555.7766666666666,40.02344354666817,3
2025-01-14,mqdc3,acute,mq,d,control,72,1770.2866666666666,17.078917803342673,3
2025-01-14,mqlt10,long_term,mq,NA,NA,73,1884.0866666666666,56.70221189101296,3
2025-01-14,sta0c3,acute,st,a0,control,74,1549.0766666666666,31.830837773035945,3
2025-01-14,mqc1,acute,mq,c,control,75,1697.6799999999998,37.66511383229843,3
2025-01-16,mqb3,acute,mq,b,otc,76,1432.3333333333333,124.33202497077473,3
2025-01-16,mqac2,acute,mq,a,control,77,2709.02,1689.4843379268125,3
2025-01-16,sta02,acute,st,a0,otc,78,1652.2066666666667,17.79720858262136,3
